scenario,approach,label,n,mean,ci_low,ci_high
apology,sim_o4_mini,o4-mini draft,46,0.48901454845200415,0.46138783575076125,0.5169707196724155
apology,sim_human_edit,Human post-edit,46,0.5367797639058984,0.5067703404342351,0.5650195706473744
apology,sim_opus,Claude Opus 4.7,46,0.6551117689713187,0.6330025948584079,0.6794530065163322
apology,sim_gpt55,GPT-5.5,46,0.6465045472849971,0.6209452289278093,0.670700418608992
condolence,sim_o4_mini,o4-mini draft,36,0.5532566433151563,0.5293117631226778,0.5810420378835665
condolence,sim_human_edit,Human post-edit,36,0.5858117938041687,0.5598345600068569,0.6115181149087018
condolence,sim_opus,Claude Opus 4.7,36,0.6208284422755241,0.5913668431341649,0.6505167298225893
condolence,sim_gpt55,GPT-5.5,36,0.649070267048147,0.6150088273195757,0.680527435719139
eulogy,sim_o4_mini,o4-mini draft,11,0.46253176710822363,0.43010034215721216,0.4940217175944285
eulogy,sim_human_edit,Human post-edit,11,0.5457485643300143,0.47594067278233443,0.6089218894189053
eulogy,sim_opus,Claude Opus 4.7,11,0.6088259680704637,0.5611143904653462,0.6536575608632781
eulogy,sim_gpt55,GPT-5.5,11,0.6004266955635764,0.5213281570510431,0.6734223392876713
letter,sim_o4_mini,o4-mini draft,50,0.45875742971897127,0.43599382375180723,0.4798975998312235
letter,sim_human_edit,Human post-edit,50,0.5184949547052383,0.4930778530538082,0.5458223852068186
letter,sim_opus,Claude Opus 4.7,50,0.647798181772232,0.628872768342495,0.6693549166619778
letter,sim_gpt55,GPT-5.5,50,0.640389034152031,0.6127791988253594,0.6680105206519366
reassurance,sim_o4_mini,o4-mini draft,38,0.49421682404844386,0.4658719289851816,0.5219906107767631
reassurance,sim_human_edit,Human post-edit,38,0.5431002017698789,0.5105147444299961,0.5776456488198356
reassurance,sim_opus,Claude Opus 4.7,38,0.6505097731163627,0.6262446258413165,0.678191032103802
reassurance,sim_gpt55,GPT-5.5,38,0.6403854583439074,0.612313164417681,0.6680968623412282
speech,sim_o4_mini,o4-mini draft,52,0.4955591496366721,0.4696594178533325,0.5258270007629807
speech,sim_human_edit,Human post-edit,52,0.5380492995564754,0.5128573520252339,0.5663217196097741
speech,sim_opus,Claude Opus 4.7,52,0.6338454674069698,0.6073685116779346,0.6595469599876267
speech,sim_gpt55,GPT-5.5,52,0.6545226551019229,0.6345224359574226,0.6731415314743151
thank,sim_o4_mini,o4-mini draft,53,0.5155124546221967,0.48872044314191027,0.5437853628172065
thank,sim_human_edit,Human post-edit,53,0.5565732205813786,0.5271795025833372,0.5864806232025038
thank,sim_opus,Claude Opus 4.7,53,0.6500793639219032,0.6286414031993668,0.6716389387845993
thank,sim_gpt55,GPT-5.5,53,0.6667872329927841,0.6437785263050277,0.6887155160870192
wedding,sim_o4_mini,o4-mini draft,38,0.5031871764283431,0.46943250861214963,0.538517098462111
wedding,sim_human_edit,Human post-edit,38,0.5560610153173146,0.5207642590725109,0.5900691266906888
wedding,sim_opus,Claude Opus 4.7,38,0.6452057557670694,0.6131998709157893,0.6755379460948079
wedding,sim_gpt55,GPT-5.5,38,0.6576427652647621,0.63519192000753,0.6801938898469273
